Text: LXXX., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e grand armada, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: LXXXI., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: Schools and schoolmasters, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: LXXXII., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: Fast-ﬁsh and loose-ﬁsh, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: LXXXIII., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: Heads or tails, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: LXXXIV., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e Pequod meets the Rose-bud, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: LXXXV., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: Ambergris, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: iv, Font: AGaramondPro-Regular, Size: 10.909000396728516
Text: LXXXVI., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e castaway, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: LXXXVII. A squeeze of the hand, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: LXXXVIII. e cassock, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: LXXXIX., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e try-works, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: XC., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e lamp, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: XCI., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: Stowing down and clearing up, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: XCII., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e doubloon, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: XCIII., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e Decanter, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: XCIV., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: A bower in the Arsacides, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: XCV., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: Measurement of the whale’s skeleton, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: XCVI., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e fossil whale, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: XCVII., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: Does the whale’s magnitude diminish?—Will he perish?, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: XCVIII., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: Ahab’s leg, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: XCIX., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e carpenter, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: C., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: Ahab and the carpenter, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: CI., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: Ahab and Starbuck in the cabin, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: CII., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: Queequeg in his coﬃn, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: CIII., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e Paciﬁc, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: CIV., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e blacksmith, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: CV., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e forge, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: CVI., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e gilder, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: CVII., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e Pequod meets the Bachelor, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: CVIII., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e dying whale, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: v, Font: AGaramondPro-Regular, Size: 10.909000396728516
Text: CIX., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e whale watch, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: CX., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e quadrant, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: CXI., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e candles, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: CXII., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e deck towards the end of the ﬁrst watch, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: CXIII., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: Midnight aloft—under and lightning, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: CXIV., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e musket, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: CXV., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e needle, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: CXVI., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e life-buoy, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: CXVII., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e deck, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: CXVIII., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e Pequod meets the Rachel, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: CXIX., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e cabin, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: CXX., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e hat, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: CXXI., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e Pequod meets the delight, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: CXXII., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e symphony, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: CXXIII., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e chase—e ﬁrst day, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: CXXIV., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e chase—ird day, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
